Recording timestamp	Sensor	Event	Event value	Gaze point X	Gaze point Y	Validity left	Validity right
63909	Eye Tracker			1017	379	Valid	Valid
63913	Mouse						
63913	Eye Tracker			1016	375	Valid	Valid
63916	Eye Tracker			1016	376	Valid	Valid
63919	Eye Tracker			1018	375	Valid	Valid
63923	Eye Tracker			1019	377	Valid	Valid
63926	Eye Tracker			1017	378	Valid	Valid
63929	Eye Tracker			1018	376	Valid	Valid
63933	Eye Tracker			1022	373	Valid	Valid
63936	Eye Tracker			1020	376	Valid	Valid
63939	Eye Tracker			1021	377	Valid	Valid
63943	Eye Tracker			1021	379	Valid	Valid
63945	Mouse						
63946	Eye Tracker			1018	377	Valid	Valid
63949	Eye Tracker			1018	374	Valid	Valid
63953	Eye Tracker			1015	375	Valid	Valid
63956	Eye Tracker			1016	375	Valid	Valid
63959	Eye Tracker			1016	377	Valid	Valid
63960	Mouse						
63963	Eye Tracker			1019	377	Valid	Valid
63966	Eye Tracker			1016	377	Valid	Valid
63969	Eye Tracker			1016	377	Valid	Valid
63973	Eye Tracker			1017	376	Valid	Valid
63976	Eye Tracker			1015	375	Valid	Valid
63977	Mouse						
63979	Eye Tracker			1015	375	Valid	Valid
63983	Eye Tracker			1014	373	Valid	Valid
63986	Eye Tracker			1013	375	Valid	Valid
63989	Eye Tracker			1015	377	Valid	Valid
63993	Mouse						
63993	Eye Tracker			1018	375	Valid	Valid
63996	Eye Tracker			1018	378	Valid	Valid
63999	Eye Tracker			1020	380	Valid	Valid
64003	Eye Tracker			1016	377	Valid	Valid
64006	Eye Tracker			1018	378	Valid	Valid
64009	Mouse						
64009	Eye Tracker			1019	378	Valid	Valid
64013	Eye Tracker			1019	375	Valid	Valid
64016	Eye Tracker			1017	377	Valid	Valid
64019	Eye Tracker			1020	373	Valid	Valid
64023	Eye Tracker			1015	375	Valid	Valid
64025	Mouse						
64026	Eye Tracker			1018	375	Valid	Valid
64029	Eye Tracker			1017	377	Valid	Valid
64033	Eye Tracker			1018	378	Valid	Valid
64036	Eye Tracker			1018	374	Valid	Valid
64039	Eye Tracker			1018	378	Valid	Valid
64040	Mouse						
64043	Eye Tracker			1018	374	Valid	Valid
64046	Eye Tracker			1015	373	Valid	Valid
64049	Eye Tracker			1017	378	Valid	Valid
64053	Eye Tracker			1018	376	Valid	Valid
64056	Eye Tracker			1015	380	Valid	Valid
64056	Mouse						
64059	Eye Tracker			1018	379	Valid	Valid
64063	Eye Tracker			1019	375	Valid	Valid
64066	Eye Tracker			1016	375	Valid	Valid
64069	Eye Tracker			1018	377	Valid	Valid
64073	Mouse						
64073	Eye Tracker			1017	375	Valid	Valid
64076	Eye Tracker			1021	377	Valid	Valid
64079	Eye Tracker			1020	376	Valid	Valid
64083	Eye Tracker			1021	375	Valid	Valid
64086	Eye Tracker			1020	377	Valid	Valid
64089	Mouse						
64089	Eye Tracker			1019	377	Valid	Valid
64093	Eye Tracker			1019	373	Valid	Valid
64096	Eye Tracker			1018	374	Valid	Valid
64099	Eye Tracker			1020	374	Valid	Valid
64103	Eye Tracker			1020	372	Valid	Valid
64106	Eye Tracker			1021	373	Valid	Valid
64109	Eye Tracker			1025	372	Valid	Valid
64113	Eye Tracker			1025	374	Valid	Valid
64116	Eye Tracker			1021	372	Valid	Valid
64119	Eye Tracker			1022	374	Valid	Valid
64123	Eye Tracker			1020	370	Valid	Valid
64126	Eye Tracker			1020	372	Valid	Valid
64129	Eye Tracker			1021	374	Valid	Valid
64133	Eye Tracker			1020	374	Valid	Valid
64136	Eye Tracker			1025	371	Valid	Valid
64139	Eye Tracker			1007	375	Valid	Valid
64143	Eye Tracker			986	380	Valid	Valid
64146	Eye Tracker			950	387	Valid	Valid
64149	Eye Tracker			927	390	Valid	Valid
64153	Eye Tracker			906	392	Valid	Valid
64156	Eye Tracker			893	392	Valid	Valid
64159	Eye Tracker			887	398	Valid	Valid
64163	Eye Tracker			882	399	Valid	Valid
64166	Eye Tracker			885	397	Valid	Valid
64169	Eye Tracker			894	395	Valid	Valid
64173	Eye Tracker			905	394	Valid	Valid
64176	Eye Tracker			906	395	Valid	Valid
64179	Eye Tracker			905	397	Valid	Valid
64183	Eye Tracker			904	394	Valid	Valid
64186	Eye Tracker			901	393	Valid	Valid
64189	Eye Tracker			901	396	Valid	Valid
64193	Eye Tracker			900	396	Valid	Valid
64196	Eye Tracker			900	395	Valid	Valid
64199	Eye Tracker			900	395	Valid	Valid
64203	Eye Tracker			898	394	Valid	Valid
64206	Eye Tracker			897	394	Valid	Valid
64209	Eye Tracker			898	395	Valid	Valid
64213	Eye Tracker			898	395	Valid	Valid
64216	Eye Tracker			896	392	Valid	Valid
64219	Eye Tracker			898	395	Valid	Valid
64223	Eye Tracker			897	394	Valid	Valid
64226	Eye Tracker			899	394	Valid	Valid
64229	Eye Tracker			895	393	Valid	Valid
64233	Eye Tracker			897	395	Valid	Valid
64236	Eye Tracker			897	392	Valid	Valid
64239	Eye Tracker			894	393	Valid	Valid
64243	Eye Tracker			896	394	Valid	Valid
64246	Eye Tracker			898	394	Valid	Valid
64249	Mouse						
64249	Eye Tracker			898	392	Valid	Valid
64253	Eye Tracker			897	394	Valid	Valid
64256	Eye Tracker			898	394	Valid	Valid
64259	Eye Tracker			897	395	Valid	Valid
64263	Eye Tracker			896	395	Valid	Valid
64265	Mouse						
64266	Eye Tracker			894	397	Valid	Valid
64269	Eye Tracker			894	397	Valid	Valid
64273	Eye Tracker			896	397	Valid	Valid
64276	Eye Tracker			895	398	Valid	Valid
64279	Eye Tracker			897	397	Valid	Valid
64281	Mouse						
64283	Eye Tracker			900	393	Valid	Valid
64286	Eye Tracker			896	395	Valid	Valid
64289	Eye Tracker			895	395	Valid	Valid
64293	Eye Tracker			896	394	Valid	Valid
64296	Eye Tracker			897	392	Valid	Valid
64297	Mouse						
64299	Eye Tracker			895	392	Valid	Valid
64303	Eye Tracker			893	392	Valid	Valid
64306	Eye Tracker			896	394	Valid	Valid
64309	Eye Tracker			894	389	Valid	Valid
64313	Mouse						
64313	Eye Tracker			895	392	Valid	Valid
64316	Eye Tracker			895	396	Valid	Valid
64319	Eye Tracker			894	398	Valid	Valid
64323	Eye Tracker			897	394	Valid	Valid
64326	Eye Tracker			897	396	Valid	Valid
64329	Mouse						
64329	Eye Tracker			899	393	Valid	Valid
64333	Eye Tracker			900	396	Valid	Valid
64336	Eye Tracker			898	394	Valid	Valid
64339	Eye Tracker			898	391	Valid	Valid
64343	Eye Tracker			899	391	Valid	Valid
64345	Mouse						
64346	Eye Tracker			899	395	Valid	Valid
64349	Eye Tracker			896	390	Valid	Valid
64353	Eye Tracker			897	391	Valid	Valid
64356	Eye Tracker			896	391	Valid	Valid
64359	Eye Tracker			897	391	Valid	Valid
64361	Mouse						
64363	Eye Tracker			897	390	Valid	Valid
64366	Eye Tracker			895	389	Valid	Valid
64369	Eye Tracker			895	391	Valid	Valid
64373	Eye Tracker			897	390	Valid	Valid
64376	Eye Tracker			896	394	Valid	Valid
64377	Mouse						
64379	Eye Tracker			895	392	Valid	Valid
64383	Eye Tracker			892	393	Valid	Valid
64386	Eye Tracker			894	392	Valid	Valid
64389	Eye Tracker			894	393	Valid	Valid
64393	Eye Tracker			894	393	Valid	Valid
64396	Eye Tracker			892	393	Valid	Valid
64399	Eye Tracker			894	392	Valid	Valid
64401	Mouse						
64403	Eye Tracker			893	393	Valid	Valid
64406	Eye Tracker			893	395	Valid	Valid
64409	Eye Tracker			893	393	Valid	Valid
64413	Eye Tracker			894	392	Valid	Valid
64416	Eye Tracker			896	394	Valid	Valid
64417	Mouse						
64419	Eye Tracker			896	392	Valid	Valid
64423	Eye Tracker			895	394	Valid	Valid
64426	Eye Tracker			898	395	Valid	Valid
64429	Eye Tracker			895	391	Valid	Valid
64433	Mouse						
